procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 703156 3744748   4512 57558188    4    0 505020     0 8165 7043  3  6 90  1  0  0
 3  0 703156 4261896   4508 57044880    0    0 155520    56 9690 7060  5  6 89  0  0  0
 2  0 703152 4860440   4508 56452076    4    0 125076     0 9208 7090  5  6 89  0  0  0
 1  0 703152 4229820   4496 57081192   20    0 700128     0 7197 6328  4  2 93  0  0  0
 1  0 703152 3990020   4496 57319380   16    0 239044     0 6003 5534  5  2 93  0  0  0
 2  0 703152 3773652   4496 57534804    0    0 215680     0 4974 4612  5  1 93  0  0  0
 2  0 703152 3421368   4504 57896408    0    0 740636    44 9317 8075  4  5 91  0  0  0
 2  0 703152 3856728   4504 57460608    4    0 197764     0 9589 7756  5  6 89  0  0  0
 3  0 703136 4331836   4504 56987148   28    0 179076     0 10568 9324  5  6 89  0  0  0
 2  0 703140 4007736   4504 57309992    0   12 521292    12 7066 5943  5  3 92  0  0  0
 1  0 702940 3829244   5040 57484720  116    0 175688     0 4819 4211  5  2 93  0  0  0
 2  0 702632 3596032   5048 57712544 3708    0 231868    56 5944 6185  5  2 93  0  0  0
 1  0 702632 3399972   5732 57907016   20    0 195172     0 4792 4265  5  2 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 702632 2927468   5540 58380844   16    0 857604     0 8517 7217  4  5 91  0  0  0
 2  0 702628 2998292   5528 58343268    8    0 723176   444 10860 7920  3  8 89  0  0  0
 2  0 702628 3632432   5500 57708000    0    4 101848     4 8145 6529  5  6 89  0  0  0
 3  0 702628 4317964   5500 57021120    0    0 77568     0 7908 6053  5  6 89  0  0  0
 4  0 702628 4975400   5508 56362288    0    0 92160   100 8069 6365  5  6 89  0  0  0
 1  0 702612 5444192   5444 55891724   24   12 99540    12 7659 6164  5  5 90  0  0  0
 3  0 702612 4583080   5444 56765036    8    0 1004064     0 6998 3609  3  4 92  0  0  0
 2  0 702608 5080472   5444 56268160    0    0 370424     0 8536 4176  1 10 88  0  0  0
 2  0 702608 5721440   5428 55622336    0    0 264228     0 6691 1799  0 11 88  0  0  0
