procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 694984 8540060  58992 52538136   36    0 151004    40 6498 5081  5  2 92  1  0  0
 2  0 694984 8321308  59000 52755920    0    0 217612    56 7510 5299  5  2 92  1  0  0
 1  0 694980 8141748  59000 52933716    0    0 177776     0 7030 5674  5  2 93  0  0  0
 2  0 694972 8063896  59000 53012180   52    0 78456     0 5044 4350  5  2 93  0  0  0
 3  0 694964 7929776  59000 53145980    8    0 133660     0 5624 5177  5  2 93  0  0  0
 1  0 694960 7866296  59000 53207692   44    0 61468    96 3972 3759  5  2 93  0  0  0
 2  0 694960 7643496  59008 53432492    8    0 224516    44 6057 4891  5  2 92  1  0  0
 2  0 694960 7448032  59008 53626804    0    0 194512     0 6830 4878  5  2 93  0  0  0
 2  0 694896 7368256  59264 53707840  832    0 82372     0 4756 4183  5  2 93  0  0  0
 1  0 693068 7280836  59520 53790536 4680    0 86592   224 7620 7106  5  2 92  0  0  0
 2  0 693068 7198260  59520 53871660    0    0 81176     0 4984 3938  5  2 93  0  0  0
 2  0 692992 7079896  59520 53989048   28    0 117164     0 6019 4602  5  2 93  0  0  0
 1  1 692856 6949808  59528 54119728  520    0 131264   572 5520 4410  5  2 93  0  0  0
 2  0 692704 6790352  59528 54275268 8412    0 163872     0 7993 8347  5  2 92  1  0  0
 1  1 692644 6574068  59528 54489192   16    0 213224     0 5793 4575  5  2 92  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 692644 6519536  59528 54542528    0    0 53372     0 4887 4346  5  2 93  0  0  0
 1  1 692640 6339252  59544 54720900   36    0 178300   232 6343 4203  5  2 93  0  0  0
 2  0 692632 6172464  59544 54887564    0    0 166580     0 5914 3821  5  2 93  0  0  0
 1  1 692632 6160784  59552 54897632    0    0 10504    64 4059 3881  5  1 93  0  0  0
 2  0 692608 5928536  59552 55129948    0    0 231816     0 9531 5976  5  2 92  1  0  0
 2  0 692600 5716268  59552 55342700   16    0 212484     0 6628 4452  5  2 93  1  0  0
 3  0 692600 5554152  59552 55504324    8    0 161512     0 6706 5105  5  2 92  1  0  0
 2  0 692596 5353548  59552 55704488    0    0 199916     0 6964 4805  5  2 92  1  0  0
 1  1 692596 5162384  59560 55894096    0    0 189632    64 6024 4026  5  2 93  0  0  0
 2  0 692588 4942016  59560 56113536   12    0 219408     0 8982 5734  5  2 92  1  0  0
 1  0 692588 4761188  59564 56294672    0    0 181492     0 7122 4927  5  2 93  1  0  0
 3  0 692588 4553992  59564 56501612    4    0 206620     0 7921 5106  5  2 92  0  0  0
 1  0 692576 4134992  59564 56920032   28    0 418432     0 13323 8749  4  2 93  1  0  0
 1  0 692576 3932540  59572 57119840    0    0 199572    44 6947 4521  5  2 92  1  0  0
 2  0 692576 3726744  59572 57324784    0    0 204924     0 7012 4961  5  2 92  1  0  0
 2  0 692576 3485216  59572 57566344    0    0 241816    12 7944 5803  5  2 92  1  0  0
 1  0 692576 3280644  59572 57770976    0    0 204320     0 6633 4289  5  2 93  0  0  0
 2  1 692576 3131196  17248 57966612    0    0 200856     0 7429 4231  5  3 91  0  0  0
 3  0 692576 2895648  17248 58267168   24    0 301620     0 12015 7443  5  7 88  0  0  0
 2  0 693360 2753232  17124 58474724   12 1260 249344  1912 9636 5648  5  7 87  0  0  0
 2  0 693356 2901928  18456 58329112   24    4 119636     4 20062 31218  5  7 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 693356 2810400  18420 58420584    8    0 215916     0 13240 14757  5  7 87  0  0  0
 2  0 693356 3087320  18308 58147888   16    0 185124     0 14967 19043  5  7 88  0  0  0
 3  0 693356 2866672  18308 58368380    0    0 220792     0 8096 5588  5  7 88  1  0  0
 4  0 693352 2693312  18316 58693616   36   20 327344   136 10198 7245  2  9 88  1  0  0
 3  0 693352 3033836  18224 58350220    0    0 255840     0 21027 28129  5  7 87  0  0  0
 3  0 693348 3028944  18224 58353784    0    0 373584     0 12220 8257  3  8 88  1  0  0
 2  0 693348 2759728  18220 58622364    0    0 268368     0 9966 5787  5  7 87  0  0  0
 2  0 700652 2589244  16800 58815076    0 9576 209940  9576 7554 4023  1  8 92  0  0  0
 3  0 701680 2616140  16832 58789028  116 2592 19508  2740 4676 1284  0 13 87  0  0  0
 3  0 701656 3057928  16832 58343416   52    0 188640     0 9566 7009  5  7 87  1  0  0
 2  0 701484 3446312  16832 57950772  284    0 238640     0 10160 6601  5  7 87  0  0  0
 2  0 701484 3632800  16764 57762108    0    0 206980     0 10244 8601  5  5 89  1  0  0
 2  0 701484 3419636  16764 57970888    0    0 209164     0 7558 4683  5  2 93  0  0  0
 1  0 701484 3208620  16772 58180140    0    0 209200    44 6222 4179  5  2 93  0  0  0
 2  0 701484 3252136  16772 58136200    0    0 273176     0 9269 8095  5  5 90  0  0  0
 2  0 701776 3271732  16772 58120920   24  324 557904   324 10093 7277  4  7 88  0  0  0
 5  0 701776 3508572  16772 57884228    0    0 323348     0 11102 8612  5  7 88  0  0  0
 1  1 701776 3576172  16776 57817568    0    0 340028     0 11232 8945  5  6 89  0  0  0
 2  0 701568 3551692  16672 57879276  312   16 419040    60 6575 3360  0  8 91  1  0  0
 1  0 701568 4965484  16668 56480268    0   44     0    44 2981  455  0 10 90  0  0  0
 0  0 691428 4028204  16684 56538952 24984    0 40004     0 5391 4190  1  5 93  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
